index,Source_airport,Destination_airport,Source_Latitude,Source_Longitude,Destination_Latitude,Destination_Longitude
11065,MEX,CUU,19.436,-99.072,28.703,-105.964
3339,IST,BEN,40.977,28.821,32.097,20.269
10224,ORN,AZR,35.624,-0.621,27.837,-0.186
9803,NCE,SOU,43.661,7.218,50.95,-1.357
4625,SXB,NTE,48.538,7.628,47.153,-1.611
13429,JNB,CDG,-26.139,28.246,49.013,2.55
2469,YBK,YRT,64.299,-96.078,62.811,-92.116
7394,LHR,HAJ,51.477,-0.461,52.461,9.685
16196,CTU,HKG,30.578,103.947,22.309,113.914
4549,LYS,CFE,45.726,5.091,45.786,3.169
13141,CDG,BOS,49.013,2.55,42.364,-71.005
14681,LHR,BRU,51.477,-0.461,50.902,4.499
7657,TFS,SZG,28.044,-16.572,47.793,13.004
5941,MBJ,CLT,18.504,-77.913,35.214,-80.943
10552,JED,HYD,21.679,39.156,17.452,78.461
2327,RPR,IDR,21.18,81.739,22.722,75.801
1672,VIE,CGN,48.11,16.57,50.866,7.143
6457,PHL,LGA,39.872,-75.241,40.777,-73.872
15148,GCI,SOU,49.435,-2.602,50.95,-1.357
3269,IST,TZX,40.977,28.821,40.995,39.79
4436,SKG,HAJ,40.52,22.971,52.461,9.685
17177,XIY,TAO,34.446,108.752,36.263,120.375
1804,BCD,CEB,10.643,122.929,7.165,124.21
11745,LGB,SEA,33.818,-118.151,47.449,-122.309
17396,ATL,SFO,33.64,-84.427,37.619,-122.375
11494,PSS,AEP,-27.386,-55.971,-34.559,-58.416
1630,STR,ZAD,48.69,9.222,44.108,15.347
12559,TCO,CLO,1.814,-78.749,3.543,-76.381
13679,STT,JFK,18.337,-64.973,40.64,-73.779
10625,SHJ,CCJ,25.328,55.517,11.136,75.955
5182,DFW,CCS,32.896,-97.037,10.603,-66.991
7966,LHR,YYT,51.477,-0.461,47.619,-52.752
5762,LCH,DFW,30.126,-93.223,32.896,-97.037
10115,BCN,ALG,41.297,2.078,36.691,3.215
7056,AYT,STR,36.901,30.792,48.69,9.222
13005,ATL,JFK,33.64,-84.427,40.64,-73.779
1422,HAJ,PRN,52.461,9.685,42.573,21.036
1907,MNL,CGK,7.617,124.059,-6.126,106.656
9574,HRE,LUN,-17.932,31.093,-15.331,28.453
16219,CTU,PEK,30.578,103.947,40.08,116.584
7265,FUE,SZG,28.453,-13.864,47.793,13.004
970,XMN,XIY,24.544,118.127,34.446,108.752
11679,JNU,SIT,58.355,-134.576,57.047,-135.361
5174,DFW,BOG,32.896,-97.037,4.701,-74.147
10873,ATL,JAX,33.64,-84.427,30.494,-81.688
2443,GMP,NGO,37.558,126.791,35.255,136.924
9698,MAD,ATL,40.472,-3.561,33.64,-84.427
13167,CDG,LIN,49.013,2.55,45.445,9.277
4542,LRH,PIS,43.449,1.263,46.588,0.307
11138,MRS,CDG,43.436,5.214,49.013,2.55
10532,IXL,DEL,34.136,77.546,28.566,77.103
11253,TLC,MTY,19.337,-99.566,25.778,-100.107
1384,DUS,NUE,51.289,6.767,49.499,11.078
4813,BPT,DFW,29.951,-94.021,32.896,-97.037
16389,HIJ,DLC,34.435,132.922,38.966,121.538
11363,VRN,PMO,45.396,10.888,38.111,13.313
7790,ZRH,HEL,47.465,8.549,60.32,24.956
4718,AUS,DFW,30.194,-97.67,32.896,-97.037
9136,ATL,PIT,33.64,-84.427,40.491,-80.233
1190,VER,MEX,19.145,-96.187,19.436,-99.072
13909,BDL,TPA,41.939,-72.683,27.975,-82.533
13405,IAS,FCO,47.179,27.62,41.813,12.253
11870,PVR,SFO,20.68,-105.254,37.619,-122.375
15389,CDG,TUN,49.013,2.55,36.851,10.227
3242,AYT,KZN,36.901,30.792,55.608,49.277
1582,SPU,STR,43.539,16.298,48.69,9.222
4032,CCU,AJL,22.655,88.447,23.746,92.803
3283,COR,MDZ,-31.324,-64.208,-32.832,-68.793
3324,BEN,AMM,32.097,20.269,31.722,35.993
4690,AQP,LIM,-16.341,-71.583,-12.022,-77.114
6035,MIA,EWR,25.793,-80.291,40.692,-74.169
6842,SOF,LHR,42.695,23.406,51.477,-0.461
494,PNS,MCO,30.473,-87.187,28.429,-81.316
11215,SFO,MLM,37.619,-122.375,19.85,-101.025
584,DOM,SXM,15.547,-61.3,18.041,-63.109
5217,DFW,GCK,32.896,-97.037,37.927,-100.724
11627,DFW,SNA,32.896,-97.037,33.676,-117.868
9590,JED,CDG,21.679,39.156,49.013,2.55
8334,YYC,IAH,51.114,-114.02,29.98,-95.34
15579,TLS,BRE,43.629,1.364,53.047,8.787
6472,PHL,MYR,39.872,-75.241,33.68,-78.928
13202,CHA,ATL,35.035,-85.204,33.64,-84.427
12507,RTB,SAL,16.317,-86.522,13.441,-89.056
7772,VIE,VLC,48.11,16.57,39.489,-0.481
10008,TUN,CDG,36.851,10.227,49.013,2.55
9028,ATL,BNA,33.64,-84.427,36.124,-86.678
4507,BVE,AJA,45.151,1.469,41.924,8.803
17052,TSN,DLC,39.124,117.346,38.966,121.538
7498,NUE,HRG,49.499,11.078,27.184,33.798
8990,AMS,BOD,52.309,4.764,44.828,-0.716
13951,BOS,SEA,42.364,-71.005,47.449,-122.309
6756,SEA,ONT,47.449,-122.309,34.056,-117.601
949,XIC,CTU,27.989,102.184,30.578,103.947
14023,FLL,PVD,26.072,-80.153,41.724,-71.428
13106,BNA,ATL,36.124,-86.678,33.64,-84.427
7913,GCM,YYZ,19.293,-81.357,43.677,-79.631
5851,LHR,KUL,51.477,-0.461,2.746,101.71
14530,GND,UVF,12.004,-61.786,13.733,-60.953
9373,CDG,NTE,49.013,2.55,47.153,-1.611
8697,MAB,BEL,-5.368,-49.138,-1.379,-48.476
10877,ATL,MCI,33.64,-84.427,39.297,-94.714
2347,SXF,TLV,52.38,13.523,32.009,34.877
7723,TXL,STR,52.559,13.287,48.69,9.222
11784,OAK,OGG,37.721,-122.221,20.899,-156.431
7946,LAD,FIH,-8.858,13.231,-4.386,15.444
10875,ATL,LGA,33.64,-84.427,40.777,-73.872
14058,JFK,CHS,40.64,-73.779,32.899,-80.04
11614,CLT,ATL,35.214,-80.943,33.64,-84.427
1941,MNL,TAC,7.617,124.059,11.227,125.028
